account length,area code,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn,total_call_minutes,total_charges,call_intensity,call_minutes_category,state_encoded
91,415,yes,no,0,145.0,89,24.65,175.8,102,14.94,223.7,151,10.07,16.7,3,4.51,2,True,544.5,54.169999999999995,1.5921052631578947,Medium,59
68,510,no,no,0,159.5,123,27.12,240.8,93,20.47,210.3,76,9.46,11.4,3,3.08,1,False,610.6,60.13,2.091095890410959,High,70
101,510,no,no,0,190.7,72,32.42,208.6,103,17.73,203.8,111,9.17,8.8,8,2.38,1,False,603.0999999999999,61.70000000000001,2.1087412587412584,High,73
67,510,no,yes,20,230.6,40,39.2,189.1,58,16.07,162.2,115,7.3,9.4,2,2.54,1,False,581.9,65.11,2.731924882629108,Medium,72
66,415,no,no,0,34.0,133,5.78,278.6,61,23.68,129.6,120,5.83,11.5,3,3.11,0,False,442.20000000000005,38.4,1.4082802547770703,Low,61
116,415,no,yes,17,193.4,112,32.88,240.6,131,20.45,248.1,98,11.16,11.4,3,3.08,5,False,682.1,67.57,2.000293255131965,Very High,63
158,408,no,no,0,202.0,126,34.34,163.5,86,13.9,195.4,84,8.79,10.4,6,2.81,1,False,560.9,59.84,1.8949324324324324,Medium,51
78,415,no,no,0,191.7,122,32.59,241.4,88,20.52,203.5,86,9.16,9.1,5,2.46,1,False,636.6,64.72999999999999,2.150675675675676,High,68
119,415,no,yes,26,161.3,97,27.42,250.3,110,21.28,142.4,92,6.41,6.6,8,1.78,1,False,554.0,56.89,1.8528428093645486,Medium,66
120,415,no,no,0,150.6,85,25.6,119.0,128,10.12,232.9,123,10.48,6.4,2,1.73,1,False,502.5,47.93,1.4955357142857142,Low,73
155,510,no,no,0,184.6,102,31.38,196.0,117,16.66,226.5,122,10.19,7.8,1,2.11,1,False,607.1,60.339999999999996,1.780351906158358,High,59
106,408,no,no,0,220.7,120,37.52,270.2,95,22.97,121.6,113,5.47,8.7,5,2.35,1,False,612.5,68.31,1.8673780487804879,High,51
87,510,yes,no,0,167.3,119,28.44,198.5,119,16.87,133.1,88,5.99,11.0,6,2.97,1,False,498.9,54.27,1.5303680981595091,Low,62
146,415,no,yes,32,154.0,80,26.18,185.5,91,15.77,148.2,107,6.67,8.2,4,2.21,3,False,487.7,50.830000000000005,1.7543165467625899,Low,80
101,415,no,yes,29,121.1,116,20.59,186.4,100,15.84,241.7,75,10.88,10.1,6,2.73,0,False,549.2,50.04,1.8872852233676978,Medium,63
22,510,no,yes,23,182.1,94,30.96,164.6,59,13.99,128.8,102,5.8,12.7,4,3.43,3,False,475.5,54.18,1.8647058823529412,Low,66
90,415,no,no,0,109.6,88,18.63,137.6,108,11.7,159.7,121,7.19,11.0,5,2.97,2,False,406.9,40.489999999999995,1.283596214511041,Low,72
41,415,no,no,0,209.9,105,35.68,121.9,105,10.36,253.7,104,11.42,9.6,4,2.59,1,False,585.5,60.05,1.8646496815286624,High,83
69,415,no,no,0,167.5,76,28.48,242.1,92,20.58,101.2,103,4.55,11.4,4,3.08,2,False,510.8,56.69,1.884870848708487,Low,78
33,415,no,no,0,213.9,88,36.36,239.8,119,20.38,148.7,71,6.69,9.8,14,2.65,2,False,602.4000000000001,66.08,2.166906474820144,High,77
112,415,no,no,0,115.8,108,19.69,243.3,111,20.68,184.6,78,8.31,13.1,5,3.54,1,False,543.7,52.220000000000006,1.8306397306397308,Medium,72
108,510,no,yes,30,276.6,99,47.02,220.1,113,18.71,177.9,95,8.01,9.8,6,2.65,2,False,674.6,76.39000000000001,2.1973941368078176,Very High,51
136,415,no,yes,21,179.4,88,30.5,181.1,97,15.39,320.7,120,14.43,9.5,4,2.57,2,False,681.2,62.89,2.23344262295082,Very High,66
128,510,no,no,0,187.3,84,31.84,270.8,95,23.02,206.4,68,9.29,10.1,5,2.73,1,False,664.5,66.88000000000001,2.6902834008097165,Very High,68
27,408,no,no,0,201.2,128,34.2,227.2,100,19.31,145.8,91,6.56,8.4,3,2.27,2,False,574.2,62.34000000000001,1.8,Medium,68
161,415,yes,no,0,189.6,78,32.23,267.4,117,22.73,184.5,137,8.3,1.3,6,0.35,1,False,641.5,63.60999999999999,1.9322289156626506,High,77
33,415,no,yes,35,186.8,124,31.76,261.0,69,22.19,317.8,103,14.3,15.0,5,4.05,0,False,765.6,72.3,2.5864864864864865,Very High,53
120,415,no,yes,31,153.5,83,26.1,219.1,96,18.62,237.4,76,10.68,11.4,4,3.08,0,False,610.0,58.48,2.392156862745098,High,63
113,415,no,no,0,187.6,97,31.89,208.2,118,17.7,158.9,101,7.15,8.7,6,2.35,2,False,554.6999999999999,59.09,1.7553797468354428,Medium,34
122,415,yes,no,0,230.9,132,39.25,243.2,99,20.67,182.4,57,8.21,11.0,2,2.97,0,True,656.5,71.1,2.279513888888889,Very High,45
148,415,no,yes,26,244.9,150,41.63,118.0,138,10.03,236.0,91,10.62,15.2,4,4.1,2,False,598.9,66.38,1.5802110817941952,High,106
74,415,no,no,0,230.9,93,39.25,223.0,78,18.96,157.8,101,7.1,9.7,2,2.62,3,False,611.7,67.93,2.2488970588235295,High,68
106,415,no,no,0,187.1,104,31.81,250.2,117,21.27,144.9,81,6.52,11.0,3,2.97,1,False,582.1999999999999,62.56999999999999,1.9278145695364237,Medium,68
179,415,no,no,0,170.7,54,29.02,191.1,108,16.24,214.6,107,9.66,13.3,4,3.59,1,False,576.4,58.510000000000005,2.1427509293680296,Medium,84
149,415,yes,yes,28,126.9,97,21.57,166.9,102,14.19,145.2,77,6.53,8.8,3,2.38,5,True,439.0,44.67,1.5905797101449275,Low,78
77,510,no,no,0,189.5,112,32.22,207.0,95,17.6,214.1,91,9.63,9.2,7,2.48,0,False,610.6,61.93,2.048993288590604,High,73
127,408,yes,no,0,176.9,110,30.07,167.9,100,14.27,182.2,138,8.2,7.7,2,2.08,1,True,527.0,54.620000000000005,1.514367816091954,Medium,65
80,415,no,no,0,161.1,99,27.39,198.8,81,16.9,228.4,116,10.28,10.6,4,2.86,1,False,588.3,57.43,1.9874999999999998,High,78
106,510,no,no,0,169.4,107,28.8,197.2,71,16.76,202.2,79,9.1,10.7,4,2.89,1,False,568.8,57.550000000000004,2.2132295719844355,Medium,68
61,415,no,yes,20,254.4,133,43.25,161.7,96,13.74,251.4,91,11.31,10.5,4,2.84,0,False,667.5,71.14,2.0859375,Very High,80
135,510,yes,yes,24,127.7,54,21.71,215.0,105,18.28,234.3,84,10.54,5.8,4,1.57,2,False,577.0,52.1,2.374485596707819,Medium,62
115,415,no,yes,26,170.5,107,28.99,217.2,77,18.46,225.7,71,10.16,13.6,5,3.67,6,False,613.4,61.28,2.405490196078431,High,51
167,408,yes,no,0,219.1,100,37.25,242.9,90,20.65,168.9,101,7.6,10.1,4,2.73,2,False,630.9,68.23,2.168041237113402,High,62
107,510,yes,no,0,273.5,104,46.5,183.8,68,15.62,153.8,67,6.92,11.0,9,2.97,2,False,611.1,72.00999999999999,2.5569037656903766,High,65
112,415,yes,no,0,161.9,138,27.52,200.9,114,17.08,134.0,134,6.03,10.7,4,2.89,1,False,496.8,53.519999999999996,1.2870466321243523,Low,106
35,510,no,yes,27,241.7,87,41.09,142.0,101,12.07,288.9,68,13.0,9.4,4,2.54,1,False,672.5999999999999,68.7,2.6273437499999996,Very High,78
103,408,yes,no,0,62.8,124,10.68,170.4,66,14.48,280.2,78,12.61,9.4,4,2.54,3,False,513.4,40.309999999999995,1.9156716417910447,Low,70
107,415,no,yes,22,281.1,83,47.79,143.7,130,12.21,239.4,128,10.77,11.2,9,3.02,1,False,664.2,73.78999999999999,1.947800586510264,Very High,63
69,415,no,no,0,228.2,70,38.79,263.7,80,22.41,142.6,60,6.42,10.7,5,2.89,3,False,634.5,70.51,3.0214285714285714,High,45
85,408,no,no,0,209.8,82,35.67,194.5,94,16.53,200.4,85,9.02,11.3,3,3.05,0,False,604.7,64.27,2.3168582375478928,High,60
24,408,no,no,0,265.6,86,45.15,208.8,102,17.75,182.5,105,8.21,11.1,6,3.0,2,True,656.9000000000001,74.11,2.241979522184301,Very High,68
90,415,no,no,0,214.9,97,36.53,117.8,117,10.01,133.7,78,6.02,11.8,2,3.19,2,False,466.4,55.75,1.5972602739726027,Low,80
137,510,no,no,0,110.5,79,18.79,223.2,111,18.97,169.5,64,7.63,10.5,3,2.84,3,False,503.2,48.230000000000004,1.9811023622047244,Low,62
92,415,yes,yes,45,281.1,88,47.79,198.0,103,16.83,94.3,76,4.24,7.5,3,2.03,0,False,573.4,70.89,2.147565543071161,Medium,64
38,415,no,no,0,137.8,86,23.43,286.3,76,24.34,167.0,77,7.52,14.1,3,3.81,2,False,591.1,59.099999999999994,2.4732217573221758,High,73
69,510,yes,yes,33,271.5,98,46.16,253.4,102,21.54,165.4,85,7.44,8.2,2,2.21,1,True,690.3,77.34999999999998,2.4221052631578948,Very High,66
45,408,no,no,0,112.8,108,19.18,218.8,120,18.6,240.2,106,10.81,9.0,3,2.43,2,False,571.8,51.02,1.7119760479041914,Medium,78
73,408,no,no,0,187.3,118,31.84,239.7,90,20.37,167.5,108,7.54,15.1,2,4.08,1,False,594.5,63.83,1.8813291139240507,High,53
92,415,no,no,0,197.0,84,33.49,269.3,105,22.89,158.9,105,7.15,10.8,4,2.92,1,False,625.2,66.45,2.126530612244898,High,61
113,415,no,yes,32,180.4,89,30.67,129.4,124,11.0,166.9,124,7.51,8.4,2,2.27,1,False,476.70000000000005,51.45,1.414540059347181,Low,64
68,408,yes,no,0,148.5,126,25.25,219.4,125,18.65,198.5,121,8.93,14.5,7,3.92,1,True,566.4,56.75,1.5225806451612902,Medium,77
135,415,no,yes,22,197.1,113,33.51,259.4,95,22.05,134.7,135,6.06,14.6,5,3.94,2,False,591.2,65.56,1.7236151603498544,High,54
100,415,no,yes,26,153.7,115,26.13,137.8,146,11.71,213.5,104,9.61,15.9,5,4.29,1,False,505.0,51.74,1.3835616438356164,Low,64
96,415,no,yes,27,261.3,96,44.42,220.9,101,18.78,179.4,97,8.07,11.3,2,3.05,1,False,661.6,74.32000000000001,2.250340136054422,Very High,84
108,510,no,no,0,246.2,102,41.85,202.4,134,17.2,180.1,95,8.1,9.4,5,2.54,1,False,628.7,69.69,1.8993957703927493,High,62
84,510,no,no,0,191.0,88,32.47,318.8,119,27.1,247.3,79,11.13,6.5,4,1.76,0,False,757.1,72.46000000000001,2.647202797202797,Very High,63
134,408,no,no,0,208.3,86,35.41,253.6,89,21.56,291.0,86,13.1,12.6,3,3.4,1,False,752.9,73.47,2.8846743295019155,Very High,66
72,415,no,no,0,253.0,73,43.01,219.3,78,18.64,210.8,89,9.49,9.8,4,2.65,0,False,683.1,73.79,2.84625,Very High,68
83,408,no,no,0,202.3,87,34.39,201.5,111,17.13,101.7,82,4.58,6.8,4,1.84,0,False,505.5,57.94,1.8053571428571429,Low,80
137,408,no,no,0,174.4,120,29.65,156.3,98,13.29,136.5,121,6.14,10.2,5,2.75,0,False,467.20000000000005,51.83,1.378171091445428,Low,106
56,415,no,yes,30,127.1,89,21.61,172.1,116,14.63,194.6,111,8.76,12.1,3,3.27,1,False,493.79999999999995,48.27,1.5626582278481012,Low,54
61,510,yes,yes,16,143.5,76,24.4,242.6,58,20.62,147.7,95,6.65,11.3,3,3.05,0,False,533.8,54.71999999999999,2.331004366812227,Medium,78
171,510,no,yes,17,186.9,94,31.77,240.0,138,20.4,200.9,64,9.04,5.8,3,1.57,1,False,627.8,62.78,2.120945945945946,High,61
123,510,no,no,0,194.0,118,32.98,242.0,114,20.57,146.3,108,6.58,12.1,4,3.27,1,False,582.3,63.4,1.7126470588235292,Medium,61
58,510,no,no,0,234.8,89,39.92,106.8,131,9.08,178.5,122,8.03,9.9,6,2.67,0,False,520.1,59.7,1.5207602339181288,Low,63
156,510,no,no,0,123.7,96,21.03,103.0,80,8.76,189.4,82,8.52,13.1,4,3.54,1,False,416.1,41.85,1.6127906976744186,Low,52
166,510,no,no,0,173.9,103,29.56,276.4,83,23.49,190.8,113,8.59,15.3,5,4.13,0,False,641.0999999999999,65.77,2.144147157190635,High,78
75,510,no,yes,41,130.9,115,22.25,203.4,110,17.29,171.7,68,7.73,12.4,4,3.35,1,False,506.0,50.62,1.726962457337884,Low,66
75,415,no,no,0,314.6,102,53.48,169.8,86,14.43,285.1,100,12.83,5.7,3,1.54,2,True,769.5,82.28,2.671875,Very High,59
83,510,no,no,0,227.9,78,38.74,207.5,115,17.64,211.7,100,9.53,12.1,5,3.27,1,False,647.0999999999999,69.17999999999999,2.2085324232081907,Very High,78
243,510,no,no,0,95.5,92,16.24,163.7,63,13.91,264.2,118,11.89,6.6,6,1.78,2,False,523.4,43.82,1.917216117216117,Medium,72
153,408,no,no,0,185.3,127,31.5,208.0,73,17.68,206.1,124,9.27,15.1,3,4.08,1,False,599.4,62.53,1.8499999999999999,High,62
150,415,no,no,0,146.3,133,24.87,202.7,95,17.23,234.7,103,10.56,13.1,3,3.54,1,False,583.7,56.2,1.7634441087613295,High,84
92,510,no,yes,16,184.0,99,31.28,76.4,134,6.49,185.1,96,8.33,12.7,3,3.43,2,False,445.5,49.53,1.3541033434650456,Low,106
80,415,no,no,0,105.8,110,17.99,43.9,88,3.73,189.6,87,8.53,13.1,5,3.54,0,False,339.29999999999995,33.79,1.1905263157894734,Low,84
134,415,no,no,0,178.0,110,30.26,153.8,64,13.07,236.6,105,10.65,11.7,4,3.16,1,False,568.4,57.14,2.0372759856630824,Medium,80
77,510,no,yes,24,149.4,74,25.4,123.9,72,10.53,174.3,84,7.84,10.1,6,2.73,1,False,447.6,46.49999999999999,1.9460869565217391,Low,45
147,510,no,no,0,209.4,104,35.6,132.5,78,11.26,149.4,123,6.72,11.3,3,3.05,2,False,491.29999999999995,56.629999999999995,1.6108196721311474,Low,61
74,415,no,no,0,172.1,105,29.26,211.7,99,17.99,182.2,105,8.2,11.6,6,3.13,1,False,566.0,58.580000000000005,1.831715210355987,Medium,63
138,510,yes,no,0,169.3,82,28.78,217.9,147,18.52,184.2,77,8.29,9.4,9,2.54,1,False,571.4000000000001,58.129999999999995,1.8673202614379087,Medium,58
143,415,no,no,0,119.1,117,20.25,287.7,136,24.45,223.0,100,10.04,12.2,4,3.29,0,False,629.8,58.03,1.7841359773371104,High,63
64,415,no,no,0,194.2,147,33.01,173.4,87,14.74,268.7,114,12.09,5.5,2,1.49,2,False,636.3,61.330000000000005,1.8284482758620688,High,53
120,510,no,no,0,198.8,56,33.8,230.1,73,19.56,119.8,81,5.39,9.9,3,2.67,2,False,548.6999999999999,61.42,2.6128571428571425,Medium,62
121,408,yes,no,0,167.7,94,28.51,93.7,121,7.96,241.3,115,10.86,13.4,1,3.62,3,True,502.7,50.949999999999996,1.5233333333333332,Low,66
88,415,no,no,0,202.2,86,34.37,216.8,93,18.43,239.4,99,10.77,11.8,2,3.19,2,False,658.4,66.75999999999999,2.368345323741007,Very High,56
87,408,no,no,0,322.5,106,54.83,204.6,93,17.39,186.2,128,8.38,9.4,4,2.54,2,True,713.3,83.14,2.1813455657492353,Very High,60
100,510,no,no,0,216.2,107,36.75,215.6,84,18.33,138.4,127,6.23,10.2,3,2.75,0,False,570.1999999999999,64.06,1.793081761006289,Medium,71
104,415,no,no,0,76.4,116,12.99,115.6,74,9.83,226.3,94,10.18,9.4,3,2.54,3,False,418.3,35.54,1.472887323943662,Low,63
27,510,no,no,0,72.7,75,12.36,208.6,117,17.73,65.8,71,2.96,9.9,3,2.67,1,False,347.1,35.72,1.3197718631178708,Low,54
81,415,no,yes,31,210.4,100,35.77,225.5,97,19.17,168.7,120,7.59,9.7,4,2.62,0,False,604.5999999999999,65.15,1.9072555205047317,High,58
64,510,yes,yes,33,127.2,93,21.62,162.9,104,13.85,247.4,109,11.13,8.1,13,2.19,0,False,537.5,48.79,1.7565359477124183,Medium,68
107,510,no,yes,28,201.8,79,34.31,304.9,128,25.92,225.6,133,10.15,11.9,8,3.21,1,False,732.3,73.59,2.1538235294117647,Very High,73
88,415,no,yes,17,219.5,78,37.32,222.1,94,18.88,188.3,92,8.47,16.1,5,4.35,1,False,629.9000000000001,69.02,2.3859848484848487,High,54
111,408,no,no,0,99.3,112,16.88,270.5,136,22.99,225.3,94,10.14,9.0,6,2.43,3,False,595.1,52.44,1.7400584795321639,High,73
77,415,no,no,0,239.2,114,40.66,150.0,115,12.75,160.8,81,7.24,10.3,2,2.78,5,False,550.0,63.43,1.7741935483870968,Medium,66
67,415,yes,no,0,120.9,58,20.55,235.0,88,19.98,95.1,130,4.28,11.4,11,3.08,2,False,451.0,47.89,1.6340579710144927,Low,78
102,408,no,no,0,224.7,81,38.2,129.4,112,11.0,167.6,109,7.54,15.8,6,4.27,1,False,521.7,61.010000000000005,1.7274834437086095,Medium,80
146,408,no,yes,19,176.6,88,30.02,162.7,66,13.83,215.5,98,9.7,14.6,6,3.94,1,False,554.8,57.489999999999995,2.2015873015873013,Medium,62
144,415,no,yes,51,283.9,98,48.26,192.0,109,16.32,196.3,85,8.83,10.0,4,2.7,1,False,672.2,76.11,2.302054794520548,Very High,63
96,415,no,no,0,180.6,92,30.7,190.9,114,16.23,295.6,125,13.3,10.3,4,2.78,1,True,667.1,63.010000000000005,2.015407854984894,Very High,61
70,415,no,yes,31,125.9,101,21.4,196.4,102,16.69,252.7,75,11.37,10.3,4,2.78,1,False,575.0,52.24,2.068345323741007,Medium,62
149,408,no,no,0,237.6,79,40.39,192.4,107,16.35,207.4,111,9.33,9.1,9,2.46,0,False,637.4,68.53,2.146127946127946,High,62
129,415,no,no,0,198.4,91,33.73,264.7,106,22.5,111.4,101,5.01,9.2,2,2.48,2,False,574.5,63.71999999999999,1.9278523489932886,Medium,58
166,408,no,no,0,274.3,110,46.63,52.9,109,4.5,246.1,119,11.07,10.9,5,2.94,0,False,573.3,65.14,1.6961538461538461,Medium,66
136,408,yes,no,0,199.6,89,33.93,211.4,96,17.97,72.4,84,3.26,11.0,4,2.97,3,True,483.4,58.129999999999995,1.7970260223048327,Low,65
149,510,no,no,0,217.7,91,37.01,273.5,74,23.25,226.9,99,10.21,9.6,3,2.59,3,False,718.1,73.06,2.7200757575757577,Very High,70
70,415,no,no,0,134.7,96,22.9,235.9,90,20.05,260.2,113,11.71,7.6,6,2.05,3,False,630.8,56.71,2.1096989966555184,High,65
120,415,no,yes,24,212.7,73,36.16,257.5,103,21.89,227.8,119,10.25,9.7,13,2.62,2,False,698.0,70.92,2.3661016949152542,Very High,63
66,510,no,no,0,256.3,135,43.57,180.2,106,15.32,187.3,135,8.43,6.2,7,1.67,2,False,623.8,68.99,1.6590425531914892,High,44
104,408,no,no,0,183.6,133,31.21,120.7,98,10.26,215.1,112,9.68,12.7,2,3.43,1,False,519.4,54.58,1.5142857142857142,Low,77
160,415,no,no,0,176.2,90,29.95,196.0,115,16.66,263.9,95,11.88,9.2,4,2.48,1,False,636.0999999999999,60.97,2.120333333333333,High,66
129,415,no,yes,37,205.0,94,34.85,165.4,103,14.06,185.0,81,8.32,11.7,8,3.16,1,False,555.4,60.39,1.997841726618705,Medium,78
93,408,no,no,0,267.9,114,45.54,223.0,74,18.96,262.7,90,11.82,11.3,3,3.05,3,True,753.5999999999999,79.36999999999999,2.7107913669064745,Very High,80
169,415,no,no,0,179.2,111,30.46,175.2,130,14.89,228.6,92,10.29,9.9,6,2.67,2,False,583.0,58.31,1.7507507507507507,Medium,53
58,415,no,no,0,149.4,145,25.4,196.5,105,16.7,209.5,108,9.43,14.9,3,4.02,1,False,555.4,55.55,1.5513966480446926,Medium,63
75,510,no,yes,38,163.6,132,27.81,146.7,113,12.47,345.8,115,15.56,13.1,3,3.54,3,False,656.0999999999999,59.38,1.8224999999999998,Very High,34
45,408,no,no,0,207.6,71,35.29,152.7,94,12.98,217.8,125,9.8,12.4,13,3.35,1,False,578.0999999999999,61.419999999999995,1.9934482758620686,Medium,63
155,510,no,no,0,165.4,108,28.12,183.7,103,15.61,80.2,108,3.61,8.9,4,2.4,3,False,429.3,49.74,1.34576802507837,Low,74
52,415,no,no,0,209.8,114,35.67,171.3,82,14.56,154.6,119,6.96,9.9,9,2.67,4,False,535.7,59.86000000000001,1.7006349206349207,Medium,70
119,415,no,yes,27,220.1,128,37.42,268.2,133,22.8,146.5,80,6.59,11.1,3,3.0,0,False,634.8,69.81,1.8615835777126097,High,78
86,510,no,no,0,141.3,72,24.02,154.3,95,13.12,210.6,91,9.48,8.2,5,2.21,1,False,506.20000000000005,48.830000000000005,1.9620155038759692,Low,66
42,408,no,no,0,196.5,89,33.41,241.3,123,20.51,143.2,105,6.44,4.0,7,1.08,0,False,581.0,61.44,1.832807570977918,Medium,70
127,510,yes,no,0,180.9,114,30.75,209.5,118,17.81,249.9,105,11.25,7.4,4,2.0,2,False,640.3,61.81,1.9,High,61
123,408,no,no,0,105.0,150,17.85,251.6,90,21.39,258.0,93,11.61,14.9,5,4.02,0,False,614.6,54.870000000000005,1.8456456456456458,High,78
98,510,no,no,0,271.4,119,46.14,190.4,102,16.18,284.7,118,12.81,11.1,6,3.0,4,True,746.5,78.13,2.202064896755162,Very High,65
149,510,no,yes,43,206.7,79,35.14,174.6,122,14.84,241.5,80,10.87,10.9,3,2.94,1,False,622.8,63.79,2.2163701067615658,High,61
160,408,no,no,0,166.8,109,28.36,236.0,117,20.06,307.6,77,13.84,9.3,1,2.51,1,False,710.4000000000001,64.77000000000001,2.344554455445545,Very High,65
103,415,no,no,0,204.9,107,34.83,135.2,102,11.49,208.2,106,9.37,10.4,3,2.81,5,False,548.3,58.5,1.7406349206349205,Medium,66
132,415,no,yes,15,154.6,128,26.28,245.6,106,20.88,148.6,90,6.69,9.1,4,2.46,1,False,548.8,56.309999999999995,1.693827160493827,Medium,53
137,415,no,no,0,127.0,107,21.59,323.2,75,27.47,143.9,127,6.48,7.5,2,2.03,1,False,594.1,57.57000000000001,1.9226537216828479,High,66
129,415,yes,no,0,267.4,78,45.46,204.2,85,17.36,111.7,146,5.03,5.9,4,1.59,1,False,583.3,69.44,1.8877022653721682,High,63
62,415,no,no,0,281.0,66,47.77,160.6,108,13.65,77.9,74,3.51,0.0,0,0.0,1,False,519.5,64.93,2.094758064516129,Low,78
122,510,no,yes,33,270.8,96,46.04,220.4,110,18.73,169.9,104,7.65,11.8,8,3.19,4,False,661.1,75.61,2.1325806451612905,Very High,73
32,408,no,no,0,171.2,82,29.1,185.6,102,15.78,203.3,64,9.15,10.2,7,2.75,1,False,560.0999999999999,56.78,2.2584677419354837,Medium,77
86,510,no,no,0,124.1,82,21.1,202.6,120,17.22,289.6,119,13.03,6.7,8,1.81,3,False,616.3,53.160000000000004,1.9199376947040496,High,54
130,415,no,no,0,162.8,113,27.68,290.3,111,24.68,114.9,140,5.17,7.2,3,1.94,1,False,568.0,59.47,1.5604395604395604,Medium,63
42,408,no,no,0,146.3,84,24.87,255.9,113,21.75,45.0,117,2.03,8.0,12,2.16,1,False,447.20000000000005,50.81,1.424203821656051,Low,77
73,415,no,no,0,254.8,85,43.32,143.4,80,12.19,153.9,102,6.93,15.0,7,4.05,2,False,552.1,66.49,2.067790262172285,Medium,61
66,408,no,yes,26,254.9,108,43.33,243.2,135,20.67,190.8,95,8.59,5.4,3,1.46,2,False,688.9000000000001,74.05,2.038165680473373,Very High,62
103,510,no,yes,31,107.7,124,18.31,188.9,104,16.06,196.2,98,8.83,8.9,3,2.4,0,False,492.8,45.599999999999994,1.5116564417177913,Low,54
128,408,no,no,0,158.8,75,27.0,264.8,91,22.51,270.0,77,12.15,7.6,7,2.05,1,False,693.6,63.71,2.854320987654321,Very High,44
104,415,no,no,0,182.9,113,31.09,239.6,85,20.37,229.8,104,10.34,5.5,4,1.49,2,False,652.3,63.29,2.1599337748344367,Very High,66
103,415,no,no,0,198.5,112,33.75,42.5,90,3.61,179.2,124,8.06,12.4,5,3.35,0,False,420.2,48.77,1.2889570552147238,Low,84
124,415,no,no,0,178.4,72,30.33,233.6,134,19.86,179.4,91,8.07,12.0,2,3.24,0,False,591.4,61.5,1.9912457912457913,High,73
87,510,no,no,0,110.9,91,18.85,158.5,115,13.47,207.5,131,9.34,6.2,5,1.67,1,False,476.9,43.33,1.41513353115727,Low,64
109,415,no,yes,27,166.9,85,28.37,221.2,92,18.8,197.3,97,8.88,12.3,4,3.32,1,True,585.4000000000001,59.370000000000005,2.136496350364964,High,51
167,415,yes,no,0,244.8,91,41.62,60.8,105,5.17,176.7,110,7.95,10.7,3,2.89,2,False,482.3,57.63,1.5761437908496732,Low,63
97,510,no,no,0,120.8,96,20.54,169.8,101,14.43,194.1,63,8.73,11.9,3,3.21,4,True,484.70000000000005,46.910000000000004,1.8642307692307694,Low,62
106,415,no,no,0,165.3,118,28.1,210.0,101,17.85,187.2,93,8.42,8.5,3,2.3,2,False,562.5,56.67,1.8028846153846154,Medium,70
125,415,no,no,0,126.7,113,21.54,155.5,131,13.22,206.2,112,9.28,14.4,7,3.89,2,False,488.4,47.93,1.3719101123595505,Low,73
108,408,no,yes,35,215.9,106,36.7,200.6,107,17.05,195.4,107,8.79,15.5,7,4.19,0,False,611.9,66.73,1.9121875,High,54
125,415,no,no,0,140.1,132,23.82,209.6,126,17.82,264.1,77,11.88,8.0,2,2.16,1,False,613.8,55.68000000000001,1.832238805970149,High,77
89,415,no,yes,32,209.9,113,35.68,249.8,104,21.23,224.2,92,10.09,8.7,7,2.35,1,False,683.9000000000001,69.35,2.2132686084142397,Very High,77
72,510,yes,yes,29,139.8,114,23.77,138.2,91,11.75,221.0,88,9.95,5.5,6,1.49,0,False,499.0,46.96,1.7030716723549488,Low,77
23,510,no,no,0,321.6,107,54.67,251.6,115,21.39,141.1,158,6.35,11.3,3,3.05,2,True,714.3000000000001,85.46,1.8797368421052634,Very High,74
149,510,no,no,0,166.6,61,28.32,218.8,107,18.6,208.3,131,9.37,8.2,6,2.21,7,False,593.7,58.5,1.9856187290969902,High,53
73,415,no,no,0,214.2,90,36.41,196.8,78,16.73,157.9,112,7.11,5.9,8,1.59,0,False,568.9,61.84,2.0317857142857143,Medium,78
61,415,no,no,0,260.0,123,44.2,210.5,127,17.89,234.7,70,10.56,9.0,3,2.43,1,True,705.2,75.08000000000001,2.2037500000000003,Very High,70
161,415,no,no,0,191.9,113,32.62,70.9,87,6.03,204.8,107,9.22,13.4,4,3.62,4,True,467.6,51.489999999999995,1.523127035830619,Low,106
73,408,no,no,0,213.0,95,36.21,188.8,104,16.05,136.2,89,6.13,13.5,3,3.65,0,False,538.0,62.040000000000006,1.8680555555555556,Medium,73
118,415,no,yes,24,118.1,83,20.08,109.6,72,9.32,245.5,73,11.05,16.9,2,4.56,1,False,473.2,45.010000000000005,2.075438596491228,Low,72
23,408,no,no,0,190.2,89,32.33,166.4,108,14.14,219.8,73,9.89,15.0,4,4.05,6,False,576.4000000000001,60.41,2.134814814814815,Medium,66
127,415,no,yes,25,82.2,95,13.97,163.3,109,13.88,264.9,104,11.92,5.1,6,1.38,0,False,510.4,41.150000000000006,1.657142857142857,Low,68
42,415,no,yes,32,163.8,80,27.85,177.8,123,15.11,190.4,106,8.57,8.1,5,2.19,0,False,532.0,53.72,1.72168284789644,Medium,68
118,415,no,no,0,267.8,145,45.53,316.4,121,26.89,208.6,91,9.39,14.4,11,3.89,5,True,792.8000000000001,85.7,2.2207282913165267,Very High,55
45,510,no,no,0,159.8,91,27.17,120.4,86,10.23,163.0,93,7.34,10.6,3,2.86,2,False,443.20000000000005,47.60000000000001,1.6414814814814815,Low,44
50,408,no,yes,24,214.3,129,36.43,289.8,55,24.63,312.5,130,14.06,10.6,4,2.86,1,False,816.6,77.98,2.6006369426751594,Very High,54
